age,clv_score,avg_balance,monetary_volume,mortgage_outstanding,activity_intensity,investments_aum,recency_days,category
67,11650.42,34273.25162618703,13985.35,86181.41068088695,9,4535.430106066735,340,DebitCard
62,9869.13,4540.478702131357,2506.16,0.0,12,16747.91401075538,350,InvestmentFund
22,33604.9,22668.62241727092,9248.41,0.0,10,8181.708157245173,93,SavingsAccount
55,19157.91,23446.85048618614,4451.72,63236.21753944191,5,1369.625672629048,243,PersonalLoan
47,31321.14,13374.17807517367,13512.44,0.0,11,4460.067405273017,213,SavingsAccount
38,23011.21,2008.651134902979,5752.72,0.0,8,3842.872372946414,175,CreditCard
27,62273.89,26059.51756300508,13846.57,79033.48911750248,7,2192.395452661525,345,InvestmentFund
75,6555.8,9966.205344646294,8107.89,46741.37185414251,11,8551.555410378527,197,PersonalLoan
38,39842.68,31145.81978907231,1394.04,43753.13441896856,8,17847.05383892387,240,DebitCard
66,39824.52,63075.35877787908,3203.6,0.0,7,4415.121914012467,51,Insurance
66,22980.09,27038.21527724005,3341.31,0.0,9,4284.256769722981,220,InvestmentFund
73,17732.37,30228.18455862587,1383.52,133252.1437164748,8,33519.81229206867,54,CreditCard
52,69860.99,31106.27710289807,7163.02,148309.8822094946,7,7600.013872016069,124,DebitCard
67,41248.47,32692.62781330531,2460.32,0.0,8,27209.17848669296,343,FXTransfer
23,24877.01,14591.40009511173,3958.83,162825.1009233352,13,3520.532624325765,72,CreditCard
34,43006.8,38648.03814819345,5237.97,0.0,2,13151.31592843692,97,FixedDeposit
63,28530.38,22470.35806887539,2347.43,138793.798974329,7,4303.928808265806,206,PersonalLoan
25,87115.21,23632.60271322001,9623.67,0.0,11,2056.82355525277,1,PersonalLoan
75,11363.7,63814.25851168212,8790.64,25470.37138299648,17,15647.58526190132,225,PersonalLoan
49,15035.93,42629.74253785831,2628.04,0.0,13,24392.29427920848,92,CreditCard
44,41230.2,74128.03131304163,2650.83,0.0,7,33354.2031820776,177,CreditCard
70,42387.48,8016.067392828451,1318.87,20593.39352767016,9,12685.78228508152,16,FixedDeposit
44,47197.73,57413.3781005492,7219.15,0.0,11,1423.804516770143,6,DebitCard
46,17989.46,18922.81888243147,3759.92,42649.9205824427,9,33609.64864089731,180,InvestmentFund
39,42804.86,47242.52252478732,6205.71,147573.8846778697,14,6487.32635863069,5,Insurance
18,40197.18,24758.30116907086,2622.93,66109.21912021798,7,9923.317232934145,196,FXTransfer
62,34762.06,13204.78086623817,4069.38,0.0,8,2817.290790737075,11,Insurance
53,59485.4,28303.3402390186,1157.84,52738.29569853482,6,7922.483947753051,251,SavingsAccount
43,43497.17,34109.2618737497,1295.15,0.0,9,8254.460344232222,262,FXTransfer
46,69223.06,6869.938148353602,935.08,58964.63067831806,4,11675.83559883183,69,CreditCard
53,27703.43,20914.43314980971,11851.51,0.0,6,14158.68198249186,254,FixedDeposit
41,7545.16,15818.30025253679,3848.43,0.0,7,2494.869201924116,55,FixedDeposit
73,60995.08,18192.05507299581,3979.07,61272.46780219306,13,15949.96185974681,220,CreditCard
61,29722.5,14951.77421850045,16869.49,0.0,9,17175.2985514541,308,DebitCard
27,95453.9,5144.310564096166,11509.68,0.0,11,7346.955291752191,173,PersonalLoan
40,36036.31,10766.35073164988,3492.98,64726.73911789809,11,15227.1069372494,104,InvestmentFund
30,13092.3,58620.13845051159,6675.35,0.0,5,4412.749594861728,364,InvestmentFund
46,27902.38,15018.93507972766,5329.29,0.0,11,2431.579685226225,202,FixedDeposit
43,31653.89,21819.32419138203,3353.1,0.0,7,2368.437309192636,177,PersonalLoan
63,16149.45,28793.34095798583,3942.11,0.0,5,2384.321197723602,261,CreditCard
21,60048.34,10550.00300635485,4796.09,57578.6998033193,10,17287.99194565214,323,SavingsAccount
28,48482.87,12515.50935707182,1373.24,39392.43649691536,13,7770.80092643478,213,SavingsAccount
32,14493.23,28347.95811564763,5381.82,0.0,10,4499.884788507547,85,CreditCard
72,37699.41,38513.98329750336,5455.52,86395.25999091097,11,6878.165495832061,261,FXTransfer
24,18003.3,14330.06352418658,1040.63,19045.69750048404,9,5724.638850296357,189,CreditCard
45,82377.23,5170.398758753432,11726.94,0.0,12,4548.661979970687,302,CreditCard
35,51999.69,14629.00091041196,4480.79,82502.39956456605,7,28050.99478914092,131,PersonalLoan
48,16649.8,12827.24653331049,9244.63,45988.18601729086,7,3156.137654852455,361,SavingsAccount
50,35657.02,11221.47638059296,2519.38,37897.44922978048,11,1736.991296760963,194,PersonalLoan
48,23775.46,14553.93520165893,2962.66,30475.16547213705,11,22597.25735663571,253,InvestmentFund
49,36607.49,15158.67758052224,13727.38,0.0,8,7220.779963070418,185,Insurance
31,19790.09,43428.19876372293,2325.09,39655.8752280147,6,3953.120051337179,181,FXTransfer
20,70638.48,23645.72572003015,12849.76,52354.19924106799,5,5635.420317792276,97,CreditCard
49,17375.12,11014.86456779665,2874.19,0.0,11,3595.456389203038,103,CreditCard
60,6898.93,24295.12006431504,3987.72,132877.9666261236,15,4285.739199639183,23,Insurance
56,34352.15,10254.72155322735,5478.62,162289.0193640566,9,1729.415013972058,224,InvestmentFund
43,45557.32,41851.23875413308,11369.61,0.0,9,1079.871543393714,351,PersonalLoan
65,18228.95,26883.03165811461,3218.0,0.0,17,1971.2008811547,25,SavingsAccount
60,13342.39,28166.3756974265,2155.97,54196.31442036021,14,6711.120826175219,228,PersonalLoan
68,17108.09,10650.44264766158,3360.94,0.0,8,2766.812231772913,325,DebitCard
35,28525.9,42955.39236093501,1116.32,63775.3652374077,5,3366.480180308451,133,FXTransfer
51,78011.57,19328.89680313858,6520.54,65007.7494445841,12,4239.352796286533,170,InvestmentFund
63,6303.02,30203.27196705229,8518.0,82802.08805560856,7,11995.62954150046,37,FixedDeposit
34,14213.69,37096.69763341567,4733.44,0.0,8,19819.19163540279,349,Insurance
33,40519.96,10039.21379235414,12133.09,50776.02832417719,8,13305.56441186467,46,PersonalLoan
44,85585.3,14672.20455851611,3973.8,0.0,8,1124.318645264335,164,DebitCard
72,38426.15,9619.838393852684,4750.4,0.0,14,3866.644341315909,265,Insurance
72,49060.32,59238.14384756077,7361.53,0.0,7,23509.80294573278,129,InvestmentFund
34,43857.0,12997.09109821873,11593.29,0.0,10,8556.966230010506,93,InvestmentFund
74,38996.1,35994.52052355596,2195.03,70446.3869981672,6,1852.079887536139,287,FixedDeposit
54,13219.76,44307.64239859001,1034.1,0.0,8,13755.65205252709,340,SavingsAccount
30,43943.34,17055.50505920721,7129.9,0.0,4,9768.284543236283,104,CreditCard
35,33896.25,26364.72978230897,5705.02,0.0,7,2278.648687629505,320,SavingsAccount
56,32915.54,12804.79074450181,2903.54,75407.66152887969,6,15658.26596793724,173,FXTransfer
32,35678.36,5439.600039625312,107.36,115244.6638922966,12,12244.83047994717,4,SavingsAccount
30,32921.43,11771.62583960555,779.26,96020.713048952,6,2044.079140033368,214,Insurance
60,80966.33,63300.90767133489,676.05,0.0,13,16870.49244534228,150,CreditCard
33,12736.13,28755.50233460281,2910.42,0.0,9,6797.831953099674,230,PersonalLoan
57,16460.17,6272.55383707599,6176.03,21404.95838745272,11,5443.119832536027,51,FixedDeposit
72,43651.96,9980.851495866662,15516.39,45656.43836587037,7,9839.259186516318,82,SavingsAccount
34,72357.42,14372.42022283514,13023.68,73453.89558234092,11,3945.838562553931,46,Insurance
43,42439.37,34798.40748367929,17155.81,0.0,5,3501.767192677957,18,CreditCard
25,9740.3,15458.09614180538,6968.88,80218.54190814408,9,3427.64898782456,184,PersonalLoan
24,78542.69,9360.669550205095,4359.39,49129.36664644378,13,7950.848436827258,2,SavingsAccount
61,109270.51,11370.21729715974,964.89,36305.02271732559,7,2841.583186119346,135,FXTransfer
33,34842.35,16644.41938644784,325.4,0.0,17,685.7664540711336,339,CreditCard
75,51003.8,8563.091145116414,13757.81,0.0,10,4647.132817069415,330,CreditCard
75,45175.77,7646.40675876662,1598.6,0.0,11,5495.423366274625,284,DebitCard
68,67121.16,14374.31263404847,15558.59,0.0,11,16137.99457498834,217,InvestmentFund
28,13385.38,12485.11259886375,2963.84,47876.10746705416,10,1995.033644455346,31,SavingsAccount
63,48465.39,67682.88892956219,6157.97,86521.4143571518,12,13731.64777296506,294,CreditCard
64,42579.09,28735.31599990839,14528.09,0.0,9,14261.07303740731,86,SavingsAccount
44,11628.9,8466.642977262461,4708.3,0.0,7,4483.825117563376,110,InvestmentFund
40,31549.65,25252.16433727384,1124.8,0.0,7,15167.9207392479,186,DebitCard
52,24530.4,27214.3685072777,4548.09,141215.678818805,8,7947.14056358479,100,FixedDeposit
64,15217.55,6962.035100973078,2637.94,0.0,11,6923.950639643788,304,Insurance
67,19022.86,7628.16367711347,8421.12,0.0,10,26735.95045565951,163,FXTransfer
47,11752.26,43731.34291563331,6921.85,0.0,13,11645.56523632879,293,CreditCard
36,47339.15,17849.5120536661,5479.61,63118.0947119234,3,2087.73967898419,313,PersonalLoan
40,30440.51,8245.897875908224,3609.88,0.0,10,16064.12732568764,148,Insurance
72,10851.39,37921.86835141014,8161.21,0.0,14,5793.855692237386,60,FXTransfer
52,46267.73,9154.034757538251,7033.88,42649.03985327409,11,13662.76077060637,65,FXTransfer
19,16508.18,11084.61341273599,242.06,144609.7197123239,11,3652.61475152624,143,DebitCard
48,10443.11,19845.00288193737,1203.52,47314.2027775204,5,1519.31638727701,89,DebitCard
57,34498.03,26656.10058674668,5947.03,29160.05222442131,9,4144.221422012263,131,CreditCard
32,43384.43,22756.85666199541,14796.51,0.0,8,4258.502684975726,249,FixedDeposit
20,76836.9,48119.48611967822,7876.63,68133.28770193865,14,2630.511237581686,31,InvestmentFund
51,29452.78,9672.780108796338,6250.69,0.0,10,7029.571406310692,11,SavingsAccount
28,24536.92,24469.9610347021,2055.53,0.0,14,10172.67633537565,232,CreditCard
46,91096.07,26681.21810434526,1215.39,0.0,12,3500.337075118317,347,CreditCard
32,41672.89,14827.21986332571,2205.44,0.0,7,30707.62501131196,176,InvestmentFund
66,10170.59,9897.298744339112,8476.65,47530.39789760329,9,21451.90803134141,306,Insurance
33,39947.97,25393.67802516657,8349.89,34883.8655697253,8,21461.83766980743,180,InvestmentFund
24,30369.08,65000.11853531053,8418.57,0.0,11,19967.87105357597,145,InvestmentFund
56,19309.33,18151.65678287041,2071.37,98992.73218300931,6,1949.316764592896,357,FXTransfer
52,27860.49,26442.57759094587,4277.9,0.0,12,23963.93547459207,136,SavingsAccount
43,21295.87,15122.32560877746,14004.48,87534.3158412071,8,32805.10244276872,273,SavingsAccount
55,37000.88,18035.81794685668,10024.06,85442.6936001258,15,13616.91832021594,196,FXTransfer
57,20391.66,13050.29020686467,6344.9,0.0,6,7006.871990336668,263,Insurance
51,25465.51,10220.06321728986,13027.69,0.0,8,4006.597181788406,283,DebitCard
28,24623.49,8624.90155456338,3891.67,57716.46616082382,10,2632.744585098204,262,PersonalLoan
62,84657.63,43032.29312538916,7274.27,61477.99301803364,9,4188.025716528075,360,InvestmentFund
18,27316.46,51463.68486438952,5562.62,87275.25440754526,11,20080.55614467037,147,DebitCard
35,12389.07,26757.79223896063,5705.99,69987.32547544755,9,18437.62030111185,0,FixedDeposit
74,78627.26,6893.313499449668,2749.39,62270.41860912656,12,5345.421203306756,173,PersonalLoan
73,42706.04,18591.15152294938,868.94,18813.61552282223,14,13953.76826202957,161,PersonalLoan
